iteration,instance,run time,cost,components
7,R201.txt,175.5155087,3667.043059,no adaptive customer removal
8,R201.txt,165.2261815,3630.214588,no adaptive customer removal
9,R201.txt,181.4446633,3588.644569,no adaptive customer removal
10,R201.txt,162.2380297,3569.695342,no adaptive customer removal
1,RC201.txt,247.3833067,4973.349883,no adaptive customer removal
2,RC201.txt,210.1933537,5072.200164,no adaptive customer removal
3,RC201.txt,164.3456907,5139.592587,no adaptive customer removal
4,RC201.txt,202.6243474,5352.450135,no adaptive customer removal
5,RC201.txt,195.3774395,4924.309011,no adaptive customer removal
6,RC201.txt,190.1920321,5057.64981,no adaptive customer removal
7,RC201.txt,200.1263204,5177.785272,no adaptive customer removal
8,RC201.txt,197.5595984,5079.479918,no adaptive customer removal
9,RC201.txt,185.9206564,5154.433043,no adaptive customer removal
10,RC201.txt,197.5666041,4869.933578,no adaptive customer removal
1,C106.txt,123.2397437,8165.206445,no adaptive customer removal
2,C106.txt,113.8852413,8294.44796,no adaptive customer removal
3,C106.txt,106.0165355,8331.79038,no adaptive customer removal
4,C106.txt,119.6951909,8088.213598,no adaptive customer removal
5,C106.txt,115.9805312,8327.330908,no adaptive customer removal
6,C106.txt,133.3792114,8345.083061,no adaptive customer removal
7,C106.txt,124.5648398,8106.078274,no adaptive customer removal
8,C106.txt,126.008672,8058.84286,no adaptive customer removal
9,C106.txt,116.2893052,8338.052222,no adaptive customer removal
10,C106.txt,116.9162786,8145.193445,no adaptive customer removal
1,R106.txt,183.3049264,4612.445509,no adaptive customer removal
2,R106.txt,176.3336234,4628.591484,no adaptive customer removal
3,R106.txt,175.9318285,4694.417061,no adaptive customer removal
4,R106.txt,178.2188997,4561.608069,no adaptive customer removal
5,R106.txt,173.4633644,4599.341213,no adaptive customer removal
6,R106.txt,193.2844167,4576.26459,no adaptive customer removal
7,R106.txt,197.6034279,4695.932418,no adaptive customer removal
8,R106.txt,194.2989144,4572.164077,no adaptive customer removal
9,R106.txt,191.288852,4573.326886,no adaptive customer removal
10,R106.txt,200.1232779,4606.430359,no adaptive customer removal
1,RC106.txt,145.7214112,5670.619636,no adaptive customer removal
2,RC106.txt,141.6678109,5676.71489,no adaptive customer removal
3,RC106.txt,139.6327641,5564.915935,no adaptive customer removal
4,RC106.txt,144.8272953,5570.708929,no adaptive customer removal
5,RC106.txt,151.6006849,5648.70102,no adaptive customer removal
6,RC106.txt,138.2160227,5538.533582,no adaptive customer removal
7,RC106.txt,130.1267462,5585.507604,no adaptive customer removal
8,RC106.txt,122.2605524,5674.449893,no adaptive customer removal
9,RC106.txt,133.5304787,5581.605304,no adaptive customer removal
10,RC106.txt,131.8397715,5613.260371,no adaptive customer removal
1,C206.txt,227.8127837,6013.165713,no adaptive customer removal
2,C206.txt,220.0668488,5721.027163,no adaptive customer removal
3,C206.txt,203.2178786,5831.948864,no adaptive customer removal
4,C206.txt,256.1364925,5777.631315,no adaptive customer removal
5,C206.txt,278.4014189,5784.54754,no adaptive customer removal
6,C206.txt,276.2012424,5765.947782,no adaptive customer removal
7,C206.txt,277.6571927,6129.058121,no adaptive customer removal
8,C206.txt,256.4967518,5707.70113,no adaptive customer removal
9,C206.txt,311.4981809,5711.004804,no adaptive customer removal
10,C206.txt,298.1788075,5756.495077,no adaptive customer removal
1,R206.txt,579.9832547,3306.904448,no adaptive customer removal
2,R206.txt,450.2576602,3535.67358,no adaptive customer removal
3,R206.txt,488.0772119,3308.083308,no adaptive customer removal
4,R206.txt,459.2370269,3366.027666,no adaptive customer removal
5,R206.txt,452.4613488,3490.697585,no adaptive customer removal
6,R206.txt,448.8641152,3338.736689,no adaptive customer removal
7,R206.txt,491.0523822,3325.968749,no adaptive customer removal
8,R206.txt,467.3258915,3623.986359,no adaptive customer removal
9,R206.txt,503.425822,3548.767413,no adaptive customer removal
10,R206.txt,548.1633074,3604.527472,no adaptive customer removal
1,RC206.txt,388.8130836,4962.274592,no adaptive customer removal
2,RC206.txt,375.0706112,5081.69323,no adaptive customer removal
3,RC206.txt,304.8441832,4786.931536,no adaptive customer removal
4,RC206.txt,336.7115161,4868.340793,no adaptive customer removal
5,RC206.txt,338.4942102,4789.770501,no adaptive customer removal
6,RC206.txt,370.8926024,5007.864155,no adaptive customer removal
7,RC206.txt,374.7857339,4996.467092,no adaptive customer removal
8,RC206.txt,386.0167687,4918.558307,no adaptive customer removal
9,RC206.txt,345.0028124,4880.773636,no adaptive customer removal
10,RC206.txt,334.6310699,4963.638939,no adaptive customer removal
